thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,0,40,[-0.22037037037037038],[0.39814814814814814],[1],[0],[0],[1.941265500150621],['target'],40,0,40,0,78.92204670002684,,10,78.90930410008878,78.92204670002684,78.92204670002684,0.028609900269657373,80.85111150005832,[-0.22037037037037038],[0.39814814814814814],[1],[0],[0],[1.941265500150621],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
41,0,41,[0.4759259259259259],[0.15185185185185185],[1],[0],[0],[1.7350267004221678],['target'],41,0,41,0,80.8746070000343,,5,80.86549940006807,80.8746070000343,80.8746070000343,0.014228000305593014,82.60094609996304,[0.4759259259259259],[0.15185185185185185],[1],[0],[0],[1.7350267004221678],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
42,0,42,[0.40185185185185185],[-0.1574074074074074],[1],[0],[0],[1.8173414999619126],['target'],42,0,42,0,82.62519189994782,,5,82.61613600002602,82.62519189994782,82.62519189994782,0.01506840018555522,84.43389190034941,[0.40185185185185185],[-0.1574074074074074],[1],[0],[0],[1.8173414999619126],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
43,0,43,[-0.10555555555555556],[0.09444444444444444],[1],[0],[0],[1.9176479997113347],['target'],43,0,43,0,84.46058320021257,,5,84.44929070025682,84.46058320021257,84.46058320021257,0.015283799730241299,86.36738740000874,[-0.10555555555555556],[0.09444444444444444],[1],[0],[0],[1.9176479997113347],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
44,0,44,[0.06481481481481481],[-0.25092592592592594],[1],[0],[0],[3.1902194004505873],['target'],44,0,44,0,86.41208810033277,,10,86.39736730000004,86.41208810033277,86.41208810033277,0.02984890015795827,89.58817860018462,[0.06481481481481481],[-0.25092592592592594],[1],[0],[0],[3.1902194004505873],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
45,0,45,[-0.4388888888888889],[-0.3925925925925926],[1],[0],[0],[2.616587500087917],['target'],45,0,45,0,89.61354350019246,,5,89.60472950013354,89.61354350019246,89.61354350019246,0.01626960001885891,92.22176380036399,[-0.4388888888888889],[-0.3925925925925926],[1],[0],[0],[2.616587500087917],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
46,0,46,[0.28425925925925927],[0.004629629629629629],[1],[0],[0],[1.69883819995448],['target'],46,0,46,0,92.24867100035772,,5,92.23901320016012,92.24867100035772,92.24867100035772,0.017077999655157328,93.93829159997404,[0.28425925925925927],[0.004629629629629629],[1],[0],[0],[1.69883819995448],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
47,0,47,[0.012037037037037037],[-0.3592592592592593],[1],[0],[0],[1.7997460002079606],['target'],47,0,47,0,93.96415919996798,,5,93.95499450014904,93.96415919996798,93.96415919996798,0.01657800003886223,95.75521530024707,[0.012037037037037037],[-0.3592592592592593],[1],[0],[0],[1.7997460002079606],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
48,0,48,[0.4009259259259259],[0.4324074074074074],[1],[0],[0],[3.5239397999830544],['target'],48,0,48,0,95.79721230035648,,10,95.78448330005631,95.79721230035648,95.79721230035648,0.02912659989669919,99.30883390037343,[0.4009259259259259],[0.4324074074074074],[1],[0],[0],[3.5239397999830544],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
49,0,49,[0.12777777777777777],[-0.4388888888888889],[1],[0],[0],[3.225449400022626],['target'],49,0,49,0,99.35120900021866,,10,99.33684360003099,99.35120900021866,99.35120900021866,0.027857100125402212,102.56273750029504,[0.12777777777777777],[-0.4388888888888889],[1],[0],[0],[3.225449400022626],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
